cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
14860,20240101,1.3357,1.3357,0.0000,Bridgeport-Stamford-Norwalk CT
15180,20240101,0.8125,0.8125,0.0000,Brownsville-Harlingen TX
15260,20240101,0.9313,0.8939,0.0000,Brunswick GA
15380,20240101,1.0213,0.9715,0.0000,Buffalo-Cheektowaga NY
15500,20240101,0.9566,0.9566,0.0000,Burlington NC
15540,20240101,0.9620,0.9620,0.0000,Burlington-South Burlington VT
15680,20240101,0.8909,0.8909,0.0000,California-Lexington Park MD
15764,20240101,1.0377,1.0377,0.0000,Cambridge-Newton-Framingham MA
15804,20240101,0.9935,0.9935,0.0000,Camden NJ
15940,20240101,0.7116,0.7116,0.0000,Canton-Massillon OH
15980,20240101,0.9022,0.8750,0.0000,Cape Coral-Fort Myers FL
16020,20240101,0.7067,0.7067,0.0000,Cape Girardeau MO-IL
16060,20240101,0.7936,0.7936,0.0000,Carbondale-Marion IL
16180,20240101,0.8816,0.8816,0.0000,Carson City NV
16220,20240101,0.8740,0.8740,0.0000,Casper WY
16300,20240101,0.8439,0.8299,0.0000,Cedar Rapids IA
16540,20240101,1.1070,1.0851,0.0000,Chambersburg-Waynesboro PA
16580,20240101,0.8814,0.8814,0.0000,Champaign-Urbana IL
16620,20240101,0.8139,0.8139,0.0000,Charleston WV
16700,20240101,0.8671,0.8671,0.0000,Charleston-North Charleston SC
16740,20240101,0.9307,0.9140,0.0000,Charlotte-Concord-Gastonia NC-SC
16820,20240101,0.8789,0.8525,0.0000,Charlottesville VA
