cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
17140,20230101,0.9077,0.9077,0,Cincinnati OH-KY-IN
17300,20230101,0.7417,0.7417,0,Clarksville TN-KY
17420,20230101,0.734,0.734,0,Cleveland TN
17460,20230101,0.8786,0.8547,0,Cleveland-Elyria OH
17660,20230101,0.9389,0.9389,0,Coeur d'Alene ID
17780,20230101,0.8647,0.8647,0,College Station-Bryan TX
17820,20230101,0.9608,0.9608,0,Colorado Springs CO
17860,20230101,0.8462,0.8329,0,Columbia MO
17900,20230101,0.8306,0.8306,0,Columbia SC
17980,20230101,0.8069,0.761,0,Columbus GA-AL
18020,20230101,1.0152,0.9822,0,Columbus IN
18140,20230101,0.9346,0.9077,0,Columbus OH
18580,20230101,0.9375,0.8984,0,Corpus Christi TX
18700,20230101,1.1189,1.1189,0,Corvallis OR
18880,20230101,0.8623,0.7999,0,Crestview-Fort Walton Beach-Destin FL
19060,20230101,0.8797,0.8797,0,Cumberland MD-WV
19124,20230101,0.9528,0.9528,0,Dallas-Plano-Irving TX
19140,20230101,0.894,0.8513,0,Dalton GA
19180,20230101,0.9481,0.9319,0,Danville IL
19300,20230101,0.7217,0.7217,0,Daphne-Fairhope-Foley AL
